id,x,y
0,-0.324,-0.61
1,-0.178,-0.467
2,-0.289,-0.437
3,-0.401,-0.621
4,-0.316,-0.608
5,-0.367,-0.657
6,-0.611,-0.493
7,-0.389,-0.528
8,-0.418,-0.498
9,-0.486,-0.484
10,-0.283,-0.635
11,-0.513,-0.518
12,-0.414,-0.644
13,-0.388,-0.541
14,-0.465,-0.197
15,-0.755,-0.636
16,-0.475,-0.47
17,-0.571,-0.496
18,-0.39,-0.507
19,-0.803,-0.757
20,-0.611,-0.493
21,-0.351,-0.609
22,-0.654,-0.405
23,-0.327,-0.576
24,-0.296,-0.634
25,-0.298,-0.611
26,-0.298,-0.591
27,-0.491,-0.255
28,-0.569,-0.42
29,-0.334,-0.658
30,-0.491,-0.4
31,-0.289,-0.612
32,-0.709,-0.445
33,-0.401,-0.621
34,-0.552,-0.488
35,-0.803,-0.757
36,-0.325,-0.63
37,-0.226,-0.537
38,-0.327,-0.576
39,-0.355,-0.408
40,-0.49,-0.672
41,-0.709,-0.445
42,-0.498,-0.482
43,-0.283,-0.635
44,-0.383,-0.39
45,-0.324,-0.61
46,-0.284,-0.679
47,-0.79,-0.564
48,-0.178,-0.342
49,-0.831,-0.537
50,-0.388,0.34
51,-0.556,0.515
52,-0.763,0.656
53,-0.72,0.771
54,-0.548,0.637
55,-0.739,0.661
56,-0.843,0.626
57,-0.859,0.552
58,-0.755,0.869
59,-0.659,0.71
60,-0.639,0.644
61,-0.324,0.45
62,-0.691,0.799
63,-0.553,0.708
64,-0.573,0.706
65,-0.404,0.668
66,-0.832,0.625
67,-0.576,0.619
68,-0.351,0.517
69,-0.278,0.741
70,-0.784,0.702
71,-0.533,0.724
72,-0.596,0.4
73,-0.512,0.81
74,-0.537,0.627
75,-0.537,0.535
76,-0.544,0.303
77,-0.6,0.894
78,-0.443,0.691
79,-0.646,0.79
80,-0.827,0.6
81,-0.696,0.51
82,-0.435,0.641
83,-0.425,0.65
84,-0.41,0.42
85,-0.438,0.827
86,-0.632,0.597
87,-0.668,0.49
88,-0.742,0.605
89,-0.328,0.404
90,-0.277,0.625
91,-0.672,0.754
92,-0.814,0.439
93,-0.633,0.573
94,-0.465,0.333
95,-0.872,0.682
96,-0.784,0.606
97,-0.365,0.34
98,-0.766,0.697
99,-0.793,0.65
100,0.495,-0.451
101,0.513,-0.41
102,0.752,-0.515
103,0.771,-0.553
104,0.638,-0.738
105,0.717,-0.429
106,0.804,-0.547
107,0.77,-0.479
108,0.478,-0.386
109,0.618,-0.581
110,0.876,-0.569
111,0.529,-0.435
112,0.662,-0.245
113,0.77,-0.479
114,0.519,-0.358
115,0.828,-0.703
116,0.812,-0.299
117,0.727,-0.407
118,0.753,-0.622
119,0.458,-0.456
120,0.583,-0.573
121,0.557,-0.341
122,0.885,-0.816
123,0.608,-0.743
124,0.392,-0.433
125,0.784,-0.738
126,0.373,-0.552
127,0.538,-0.405
128,0.525,-0.716
129,0.353,-0.358
130,0.766,-0.406
131,0.458,-0.456
132,0.235,-0.615
133,0.295,-0.452
134,0.26,-0.434
135,0.822,-0.811
136,0.746,-0.413
137,0.842,-0.614
138,0.781,-0.545
139,0.539,-0.423
140,0.723,-0.779
141,0.466,-0.382
142,0.766,-0.406
143,0.538,-0.405
144,0.369,-0.62
145,0.607,-0.38
146,0.733,-0.551
147,0.845,-0.418
148,0.775,-0.277
149,0.509,-0.525
150,0.402,0.49
151,0.332,0.647
152,0.303,0.429
153,0.377,0.328
154,0.365,0.324
155,0.35,0.466
156,0.127,0.625
157,0.343,0.357
158,0.344,0.685
159,0.745,0.401
160,0.317,0.568
161,0.295,0.414
162,0.226,0.558
163,0.285,0.369
164,0.365,0.324
165,0.379,0.421
166,0.431,0.818
167,0.535,0.642
168,0.444,0.557
169,0.567,0.57
170,0.31,0.581
171,0.296,0.546
172,0.653,0.27
173,0.512,0.282
174,0.417,0.657
175,0.46,0.832
176,0.432,0.154
177,0.27,0.314
178,0.428,0.558
179,-0.072,0.789
180,0.444,0.557
181,0.296,0.546
182,0.38,0.291
183,0.655,0.698
184,0.279,0.617
185,0.493,0.71
186,0.114,0.736
187,0.552,0.673
188,0.227,0.449
189,0.442,0.77
190,0.07,0.624
191,-0.032,0.565
192,0.296,0.546
193,0.208,0.627
194,0.438,0.499
195,0.302,0.312
196,0.341,0.561
197,0.408,0.241
198,0.416,0.601
199,0.431,0.818
200,0.173,0.24
201,-0.093,0.118
202,-0.295,-0.123
203,0.048,0.116
204,0.227,-0.215
205,0.177,-0.075
206,0.055,-0.284
207,0.035,0.017
208,0.04,0.044
209,0.101,0.124
210,-0.043,-0.203
211,0.102,0.15
212,-0.037,0.107
213,0.015,-0.052
214,0.105,0.083
215,0.014,0.087
216,0.015,-0.052
217,0.167,0.059
218,0.145,0.067
219,-0.166,0.12
220,-0.087,0.277
221,-0.04,-0.13
222,-0.151,-0.139
223,-0.207,-0.065
224,0.04,0.044
225,0.174,0.066
226,0.112,-0.065
227,-0.029,0.107
228,-0.229,-0.023
229,-0.179,-0.12
230,0.077,0.069
231,0.177,-0.075
232,-0.156,0.081
233,-0.257,0.057
234,0.04,0.044
235,-0.277,0.315
236,-0.098,0.183
237,0.047,-0.025
238,-0.025,0.301
239,0.178,0.049
240,0.31,-0.285
241,0.149,0.155
242,-0.069,0.487
243,0.107,-0.072
244,-0.17,0.157
245,-0.201,0.257
246,0.08,-0.178
247,-0.022,-0.049
248,-0.286,0.335
249,0.224,0.039
