id,x,y,party,color
0,-0.468,-0.583,0,C0
1,-0.244,-0.432,0,C0
2,-0.346,-0.412,0,C0
3,-0.514,-0.558,0,C0
4,-0.419,-0.586,0,C0
5,-0.480,-0.667,0,C0
6,-0.673,-0.448,0,C0
7,-0.504,-0.482,0,C0
8,-0.515,-0.462,0,C0
9,-0.560,-0.452,0,C0
10,-0.341,-0.629,0,C0
11,-0.610,-0.489,0,C0
12,-0.574,-0.594,0,C0
13,-0.505,-0.507,0,C0
14,-0.511,-0.166,0,C0
15,-0.768,-0.556,0,C0
16,-0.555,-0.427,0,C0
17,-0.634,-0.448,0,C0
18,-0.483,-0.449,0,C0
19,-0.864,-0.686,0,C0
20,-0.657,-0.431,0,C0
21,-0.496,-0.570,0,C0
22,-0.677,-0.281,0,C0
23,-0.422,-0.519,0,C0
24,-0.420,-0.650,0,C0
25,-0.387,-0.535,0,C0
26,-0.376,-0.512,0,C0
27,-0.566,-0.212,0,C0
28,-0.601,-0.354,0,C0
29,-0.478,-0.726,0,C0
30,-0.554,-0.349,0,C0
31,-0.375,-0.562,0,C0
32,-0.744,-0.326,0,C0
33,-0.526,-0.565,0,C0
34,-0.617,-0.479,0,C0
35,-0.864,-0.684,0,C0
36,-0.436,-0.619,0,C0
37,-0.291,-0.463,0,C0
38,-0.410,-0.484,0,C0
39,-0.403,-0.383,0,C0
40,-0.618,-0.612,0,C0
41,-0.794,-0.354,0,C0
42,-0.571,-0.444,0,C0
43,-0.378,-0.638,0,C0
44,-0.436,-0.366,0,C0
45,-0.424,-0.572,0,C0
46,-0.396,-0.727,0,C0
47,-0.848,-0.528,0,C0
48,-0.231,-0.328,0,C0
49,-1.019,-0.492,0,C0
50,-0.391,0.273,1,C1
51,-0.458,0.445,1,C1
52,-0.610,0.550,1,C1
53,-0.614,0.678,1,C1
54,-0.453,0.538,1,C1
55,-0.583,0.553,1,C1
56,-0.723,0.475,1,C1
57,-0.776,0.426,1,C1
58,-0.625,0.793,1,C1
59,-0.504,0.610,1,C1
60,-0.490,0.538,1,C1
61,-0.245,0.420,1,C1
62,-0.560,0.676,1,C1
63,-0.439,0.618,1,C1
64,-0.455,0.593,1,C1
65,-0.316,0.611,1,C1
66,-0.660,0.485,1,C1
67,-0.457,0.524,1,C1
68,-0.283,0.451,1,C1
69,-0.115,0.676,1,C1
70,-0.627,0.620,1,C1
71,-0.402,0.631,1,C1
72,-0.506,0.279,1,C1
73,-0.367,0.699,1,C1
74,-0.438,0.526,1,C1
75,-0.453,0.452,1,C1
76,-0.496,0.208,1,C1
77,-0.476,0.859,1,C1
78,-0.370,0.616,1,C1
79,-0.521,0.677,1,C1
80,-0.678,0.449,1,C1
81,-0.579,0.397,1,C1
82,-0.360,0.532,1,C1
83,-0.330,0.555,1,C1
84,-0.374,0.367,1,C1
85,-0.307,0.788,1,C1
86,-0.490,0.485,1,C1
87,-0.529,0.368,1,C1
88,-0.565,0.471,1,C1
89,-0.245,0.363,1,C1
90,-0.120,0.570,1,C1
91,-0.524,0.648,1,C1
92,-0.743,0.299,1,C1
93,-0.520,0.466,1,C1
94,-0.428,0.266,1,C1
95,-0.769,0.636,1,C1
96,-0.608,0.454,1,C1
97,-0.314,0.279,1,C1
98,-0.602,0.596,1,C1
99,-0.626,0.517,1,C1
100,0.407,-0.447,2,C2
101,0.407,-0.395,2,C2
102,0.574,-0.428,2,C2
103,0.633,-0.529,2,C2
104,0.415,-0.677,2,C2
105,0.589,-0.376,2,C2
106,0.693,-0.509,2,C2
107,0.607,-0.416,2,C2
108,0.368,-0.373,2,C2
109,0.500,-0.525,2,C2
110,0.821,-0.497,2,C2
111,0.441,-0.444,2,C2
112,0.602,-0.163,2,C2
113,0.610,-0.417,2,C2
114,0.427,-0.311,2,C2
115,0.630,-0.602,2,C2
116,0.681,-0.244,2,C2
117,0.609,-0.333,2,C2
118,0.566,-0.551,2,C2
119,0.362,-0.450,2,C2
120,0.451,-0.521,2,C2
121,0.466,-0.302,2,C2
122,0.750,-0.804,2,C2
123,0.404,-0.701,2,C2
124,0.299,-0.395,2,C2
125,0.570,-0.631,2,C2
126,0.234,-0.555,2,C2
127,0.464,-0.392,2,C2
128,0.303,-0.708,2,C2
129,0.293,-0.322,2,C2
130,0.677,-0.307,2,C2
131,0.363,-0.429,2,C2
132,0.078,-0.630,2,C2
133,0.188,-0.488,2,C2
134,0.164,-0.457,2,C2
135,0.651,-0.789,2,C2
136,0.616,-0.330,2,C2
137,0.693,-0.576,2,C2
138,0.608,-0.492,2,C2
139,0.441,-0.431,2,C2
140,0.460,-0.725,2,C2
141,0.341,-0.349,2,C2
142,0.657,-0.294,2,C2
143,0.454,-0.385,2,C2
144,0.241,-0.608,2,C2
145,0.501,-0.349,2,C2
146,0.539,-0.475,2,C2
147,0.782,-0.361,2,C2
148,0.683,-0.201,2,C2
149,0.374,-0.504,2,C2
150,0.532,0.504,3,C3
151,0.489,0.680,3,C3
152,0.440,0.440,3,C3
153,0.525,0.351,3,C3
154,0.506,0.341,3,C3
155,0.482,0.491,3,C3
156,0.335,0.618,3,C3
157,0.487,0.372,3,C3
158,0.486,0.691,3,C3
159,0.827,0.436,3,C3
160,0.485,0.576,3,C3
161,0.377,0.423,3,C3
162,0.354,0.557,3,C3
163,0.366,0.384,3,C3
164,0.496,0.340,3,C3
165,0.507,0.436,3,C3
166,0.600,0.815,3,C3
167,0.739,0.646,3,C3
168,0.576,0.580,3,C3
169,0.735,0.541,3,C3
170,0.491,0.620,3,C3
171,0.403,0.542,3,C3
172,0.710,0.294,3,C3
173,0.639,0.322,3,C3
174,0.569,0.627,3,C3
175,0.691,0.860,3,C3
176,0.497,0.155,3,C3
177,0.331,0.316,3,C3
178,0.554,0.575,3,C3
179,0.103,0.735,3,C3
180,0.560,0.562,3,C3
181,0.406,0.551,3,C3
182,0.530,0.310,3,C3
183,0.780,0.648,3,C3
184,0.428,0.658,3,C3
185,0.696,0.678,3,C3
186,0.358,0.711,3,C3
187,0.746,0.655,3,C3
188,0.305,0.436,3,C3
189,0.584,0.721,3,C3
190,0.228,0.620,3,C3
191,0.088,0.566,3,C3
192,0.442,0.562,3,C3
193,0.387,0.645,3,C3
194,0.616,0.482,3,C3
195,0.409,0.329,3,C3
196,0.501,0.555,3,C3
197,0.534,0.280,3,C3
198,0.546,0.581,3,C3
199,0.590,0.793,3,C3
200,0.223,0.248,4,C4
201,-0.107,0.116,4,C4
202,-0.343,-0.136,4,C4
203,0.065,0.141,4,C4
204,0.194,-0.212,4,C4
205,0.145,-0.067,4,C4
206,-0.025,-0.259,4,C4
207,0.005,0.006,4,C4
208,0.005,0.018,4,C4
209,0.156,0.142,4,C4
210,-0.126,-0.199,4,C4
211,0.137,0.157,4,C4
212,-0.037,0.104,4,C4
213,-0.009,-0.053,4,C4
